2001-02-19,Groceries,expense,3055.62
2014-05-28,Salary,income,3315.28
2007-11-03,Groceries,income,8617.58
2015-04-04,Utilities,expense,1053.65
2016-07-03,Utilities,income,488.66
2003-11-25,Salary,income,7583.5
2005-08-18,Entertainment,expense,-45.8
2001-03-17,Utilities,income,9451.11
2015-10-21,Healthcare,income,3780.41
2013-11-06,Salary,expense,6754.64
2004-08-27,Groceries,expense,-3681.25
2009-03-14,Groceries,expense,8867.13
2021-10-10,Utilities,expense,-2197.59
2007-01-02,Salary,income,1771.6
2013-10-17,Utilities,expense,5032.46
2021-12-22,Utilities,expense,6844.59
2002-07-19,Healthcare,income,3316.02
2018-10-04,Entertainment,income,-3537.68
2010-09-25,Salary,income,5774.11
2001-11-15,Healthcare,expense,-354.22
2005-09-16,Utilities,expense,-347.56
2022-04-07,Salary,income,-4131.44
2005-06-05,Entertainment,expense,9337.64
2011-11-20,Entertainment,income,9640.63
2004-02-14,Groceries,income,1000.45
2015-07-25,Entertainment,expense,-3.18
2007-01-11,Healthcare,income,930.25
2017-08-02,Utilities,expense,-2016.79
2000-02-23,Groceries,income,5804.92
2010-04-05,Groceries,expense,6358.2
2023-02-05,Entertainment,expense,6613.34
2017-09-08,Healthcare,expense,2112.01
2005-04-20,Utilities,expense,-4194.43
2000-06-26,Healthcare,income,9737.82
2017-09-13,Healthcare,income,-4968.06
2007-01-06,Salary,expense,400.76
2013-12-02,Utilities,income,-2557.76
2018-10-27,Utilities,income,3841.98
2023-09-17,Entertainment,expense,-4836.88
2010-10-19,Groceries,expense,9039.27
2000-09-05,Entertainment,income,-2660.4
2021-01-25,Entertainment,income,7306.67
2011-11-24,Groceries,expense,-1814.06
2010-11-21,Utilities,income,805.09
2009-08-18,Healthcare,income,813.35
2020-02-21,Salary,income,-2894.36
2021-10-21,Salary,expense,1773.0
2020-02-20,Entertainment,expense,-2858.43
2007-02-16,Salary,expense,9321.19
2022-11-15,Salary,income,1556.36
2009-01-13,Groceries,expense,-4373.01
2005-07-09,Groceries,income,1024.08
2021-10-06,Salary,income,783.93
2004-05-11,Salary,expense,7321.58
2017-10-19,Utilities,expense,2418.49
2020-04-20,Utilities,expense,3839.51
2018-02-15,Groceries,expense,-119.96
2005-01-05,Healthcare,expense,998.2
2011-12-22,Entertainment,expense,2496.22
2001-03-01,Salary,income,4447.48
2020-12-22,Groceries,income,9928.87
2017-02-11,Entertainment,expense,-3637.33
2006-02-14,Utilities,income,5494.48
2016-07-18,Salary,expense,-464.66
2002-12-01,Entertainment,expense,3901.48
2014-12-11,Utilities,income,5414.1
2023-11-22,Salary,income,-3915.99
2001-07-14,Groceries,expense,-4922.8
2016-05-11,Utilities,income,-3921.89
2020-02-17,Groceries,income,806.68
2015-06-12,Healthcare,expense,-2158.51
2007-11-18,Groceries,income,-90.33
2014-11-22,Healthcare,expense,8112.81
2009-12-07,Healthcare,expense,4321.47
2002-06-12,Salary,income,-167.51
2023-02-07,Utilities,expense,-1296.32
2019-04-06,Groceries,expense,4607.95
2010-07-15,Utilities,expense,5627.33
2012-02-22,Groceries,expense,-2283.28
2005-01-14,Groceries,income,6880.99
2008-02-16,Groceries,income,2684.32
2020-03-03,Healthcare,income,6047.12
2010-08-25,Entertainment,expense,-233.43
2014-03-04,Salary,income,-4452.34
2019-11-14,Salary,income,3162.69
2005-05-14,Utilities,income,5496.14
2008-06-15,Utilities,expense,3336.21
2016-05-26,Healthcare,expense,5836.41
2011-06-26,Salary,income,4933.06
2015-01-28,Utilities,expense,5531.87
2010-08-20,Utilities,income,3517.97
2010-05-05,Entertainment,expense,-4193.13
